NodeNum,Inst,SEQ,Method,FlexLex,CP,Obj,Time,sel
15,15-PatPS_000_841_1_2_1_1,0,TI,L,18.24,29.5,4.033,1
15,15-PatPS_001_841_2_3_2_2,1,TI,H,10.44,20.37,0.953,4_15
15,15-PatPS_002_843_1_2_1_1,2,TI,L,23.490002,37.25,2.47,3
15,15-PatPS_003_843_2_3_2_2,3,TI,H,8.3,15.23,0.757,15_10
15,15-PatPS_004_254_1_2_1_1,4,TI,L,19.01,34.17,2.226,2
15,15-PatPS_005_254_2_3_2_2,5,TI,H,16.41,17.63,0.738,2_14
15,15-PatPS_006_523_1_2_1_1,6,TI,L,18.18,30.43,44.674,4
15,15-PatPS_007_523_2_3_2_2,7,TI,H,13.78,18.59,0.707,4_9
15,15-PatPS_008_238_1_2_1_1,8,TI,L,27.16,45.77,3.148,3
15,15-PatPS_009_238_2_3_2_2,9,TI,H,9.11,19.19,1.128,3_9
15,15-PatPS_010_627_1_2_1_1,10,TI,L,18.49,38.74,21.716,9
15,15-PatPS_011_627_2_3_2_2,11,TI,H,11.26,27.03,1.554,9_14
15,15-PatPS_012_176_1_2_1_1,12,TI,L,22.82,34.72,3.293,1
15,15-PatPS_013_176_2_3_2_2,13,TI,H,14.0199995,24.79,0.884,10_8
15,15-PatPS_014_51_1_2_1_1,14,TI,L,18.8,28.19,3.224,14
15,15-PatPS_015_51_2_3_2_2,15,TI,H,10.74,16.91,0.779,14_0
15,15-PatPS_016_71_1_2_1_1,16,TI,L,15.23,44.87,4.076,1
15,15-PatPS_017_71_2_3_2_2,17,TI,H,8.4,30.05,1.256,14_0
15,15-PatPS_018_626_1_2_1_1,18,TI,L,15.68,35.01,1.733,7
15,15-PatPS_019_626_2_3_2_2,19,TI,H,11.64,17.45,0.447,7_0
15,15-PatPS_020_609_1_2_1_1,20,TI,L,17.689999,26.61,1.406,1
15,15-PatPS_021_609_2_3_2_2,21,TI,H,4.62,9.18,0.511,11_6
15,15-PatPS_022_568_1_2_1_1,22,TI,L,17.380001,29.39,4.798,1
15,15-PatPS_023_568_2_3_2_2,23,TI,H,7.88,12.38,0.506,11_0
15,15-PatPS_024_948_1_2_1_1,24,TI,L,17.080002,26.38,1.335,1
15,15-PatPS_025_948_2_3_2_2,25,TI,H,8.74,15.73,0.549,6_0
15,15-PatPS_026_72_1_2_1_1,26,TI,L,18.029999,32.02,2.025,1
15,15-PatPS_027_72_2_3_2_2,27,TI,H,5.94,15.43,0.502,7_11
15,15-PatPS_028_231_1_2_1_1,28,TI,L,23.619999,39.47,2.55,15
15,15-PatPS_029_231_2_3_2_2,29,TI,H,8.099999,12.63,0.509,15_0
15,15-PatPS_030_812_1_2_1_1,30,TI,L,21.939999,33.88,0.779,11
15,15-PatPS_031_812_2_3_2_2,31,TI,H,12.190001,14.16,0.223,10_7
15,15-PatPS_032_838_1_2_1_1,32,TI,L,23.62,34.23,3.453,2
15,15-PatPS_033_838_2_3_2_2,33,TI,H,17.08,24.37,1.035,2_14
15,15-PatPS_034_933_1_2_1_1,34,TI,L,25.630001,44.35,4.988,2
